Parameter,Unit,Value
Solar Transmissivity,-,0.75
Long-wave Transmissivity,-,0.29
Solar Heat Gain Coefficient,-,0.696
Shading Factor,-,0.8
Number of Layers in Cover,-,2
Material Thermal Conductivity,W m-1 K-1,0.33
Material Thickness,m,0.006
Thermal Air Conductance,W m-1 K-1,3.85
Emissivity,-,0.2
