Parameter,Unit,Value
Solar Transmissivity,-,0
Long-wave Transmissivity,,-
Solar Heat Gain Coefficient,-,0.696
Shading Factor,-,0.8
Number of Layers in Cover,-,1
Material 1 Thermal Conductivity,W m-1 K-1,0.03
Material 2 Thermal Conductivity,W m-1 K-1,0.12
Material 1 Thickness,m,0.065
Material 2 Thickness,m,0.019
Total Material Thickness,m,0.084
Perimeter Heat Loss Factor,W m-1 K-1,0.85
Thermal Air Conductance,W m-2 K-1,3.85
,m,0.084
